Ad
All Time
Account,Customer ID,Headline,Headline 1,Headline 2,Expanded Text Ad Headline 3,Short headline,Long headline,Responsive Search Ad headline 1,Responsive Search Ad headline 2,Responsive Search Ad headline 3,Responsive Search Ad headline 4,Responsive Search Ad headline 5,Responsive Search Ad headline 6,Responsive Search Ad headline 7,Responsive Search Ad headline 8,Responsive Search Ad headline 9,Responsive Search Ad headline 10,Responsive Search Ad headline 11,Responsive Search Ad headline 12,Responsive Search Ad headline 13,Responsive Search Ad headline 14,Responsive Search Ad headline 15,Responsive Search Ad description 1,Responsive Search Ad description 2,Responsive Search Ad description 3,Responsive Search Ad description 4,Description,Expanded Text Ad Description 2,Description line 1,Description line 2,Display URL,Ad,Path 1,Path 2,Business name,Campaign,Ad group,Campaign type,Campaign subtype,Ad final URL,Ad mobile final URL,Currency,Clicks,Impressions,CTR,Avg. CPC,Cost,Conversions,View-through conv.,Cost / conv.,Conv. rate
RingWraps,692-356-5030,,The Original RingWraps,Created by Aggies for Aggies, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,RingWraps are custom-made diamond bands designed to showcase your A&M Class Ring, --,,,,, --, --, --,Branded Keywords - A&M,Ad Group #1,Search Only,All features,http://ringwraps.com, --,USD,"1,105","5,283",20.92%,0.95,"1,048.87",3.00,0,348.65,0.27%
RingWraps,692-356-5030,,Asbestos Research Group,Secondhand Exposure?, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Could you be affected by Secondhand Asbestos Exposure? Learn If You Are Today., --,,,,,asbestos, --, --,Campaign #2,asbestos removal 1,Search Only,Standard,http://www.asbestosresearchgroup.com/index.php/secondhand-exposure-to-asbestos/, --,USD,35,"1,151",3.04%,4.53,158.52,2.00,0,79.26,5.71%
RingWraps,692-356-5030,,The Original RingWraps,Gorgeous Diamond Ring Wraps, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,RingWraps are custom-made diamond bands designed to showcase your Class Ring, --,,,,, --, --, --,Branded Keywords - Dallas,Ad Group #1,Search Only,All features,https://ringwraps.com/custom-work/, --,USD,"2,775","362,286",0.77%,0.29,805.33,4.00,0,201.22,0.14%
RingWraps,692-356-5030,,The Original RingWraps,University of Houston, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Enhance your UH Ring with Custom RingWraps. See what people are raving about!, --,,,,, --, --, --,Branded Keywords - Houston,University of Houston,Search Only,All features,https://ringwraps.com/custom-work/, --,USD,294,"4,999",5.88%,1.33,391.59,1.00,0,391.59,0.34%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $150 Off,Use Code: valentine, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Val's Day is around the corner so if you want to give yourself or love one a gift,Take advantage of this $150 Off offer and receive it in time!,,,,, --, --, --,Branded Keywords - Houston,University of Houston,Search Only,All features,https://ringwraps.com/, --,USD,0,160,0.00%,0.00,0.00,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $150 Off,Use Code: valentine, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Val's Day is around the corner so if you want to give yourself or love one a gift,Take advantage of this $150 Off offer and receive it in time!,,,,, --, --, --,Branded Keywords - A&M (US),Ad Group #1,Search Only,All features,https://ringwraps.com/, --,USD,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $200 Off,Use Code: CHRISTMASISHERE, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,RingWraps are custom-made diamond bands designed to showcase your Class Ring,We're giving a limited time offer for $200 off any RingWraps! (Excludes Enhancers).,,,,, --, --, --,Branded Keywords - A&M (US),Brand Name,Search Only,All features,https://ringwraps.com/, --,USD,111,"11,513",0.96%,2.07,229.27,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Best Nail Art,in Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Experience The Elysian Boutique in the Height of Fashion,Many Additional and Acrylic Services,,,,, --, --, --,elysian_leads,Customer Conversation 1,Search Network with Display Select,All features,https://theelysianboutique.com, --,USD,"2,100","564,666",0.37%,0.57,"1,190.50",3.00,0,396.83,0.14%
The Elysian Boutique,149-408-4452,,Best Nail Salon,In Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,The Elysian Boutique- A One of a Kind Nail Salon.,Pay us a Visit for a Mind Blowing Experience.,,,,, --, --, --,Nik-NB-Geo,NB-Phrase/Exact-Geo,Search Only,All features,https://theelysianboutique.com, --,USD,11,454,2.42%,1.10,12.14,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $200 Off,Use Code: CHRISTMASISHERE, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,RingWraps are custom-made diamond bands designed to showcase your Class Ring,We're giving a limited time offer for $200 off any RingWraps! (Excludes Enhancers).,,,,, --, --, --,Branded Keywords - A&M,Ad Group #1,Search Only,All features,https://ringwraps.com/, --,USD,134,942,14.23%,1.31,174.96,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $150 Off,Use Code: valentine, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Val's Day is around the corner so if you want to give yourself or love one a gift,Take advantage of this $150 Off offer and receive it in time!,,,,, --, --, --,Branded Keywords - A&M,Ad Group #1,Search Only,All features,https://ringwraps.com/, --,USD,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Texas Tech University, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Enhance your Texas Tech Ring with RingWraps. See what people are raving about!, --,,,,, --, --, --,Branded Keywords - Texas Tech,Texas Tech,Search Only,All features,https://ringwraps.com/custom-work/, --,USD,388,"6,184",6.27%,1.39,541.11,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Luxury Nail Salon,In Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,The Elysian Boutique- A One of a Kind Nail Salon,Pay us a Visit for a Mind Blowing Experience.,,,,, --, --, --,Nik-NonGeo-NB,NB-NonGeo-Exact,Search Only,All features,https://theelysianboutique.com, --,USD,97,"4,402",2.20%,1.40,135.80,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,An Aggie Tradition, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,RingWraps are custom-made diamond bands designed to showcase your A&M Class Ring, --,,,,, --, --, --,Branded Keywords - A&M,Ad Group #1,Search Only,All features,http://ringwraps.com, --,USD,81,332,24.40%,0.81,65.24,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,Asbestos Research Group,Asbestos Related Diseases, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,What are all the Diseases caused by Asbestos? Learn from experts about Asbestos., --,,,,,Asbestos,Alabama, --,Meso Campaign,mesothelioma symptoms,Search Only,Standard,http://www.asbestosresearchgroup.com/index.php/asbestos-related-disease-2/, --,USD,0,1,0.00%,0.00,0.00,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Created by Aggies for Aggies, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Looking for A&M Class Ring Wraps? Check out what everyone's been raving about!, --,,,,, --, --, --,Branded Keywords - A&M (US),Montelongo's,Search Only,All features,https://ringwraps.com/custom-work/, --,USD,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Gorgeous Diamond Enhancement, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,A Lifetime Gift for Yourself or a Loved One. See what people are raving about!, --,,,,, --, --, --,Branded Keywords - Texas Tech,Branded Keyword,Search Only,All features,https://ringwraps.com/custom-work/, --,USD,38,"1,188",3.20%,0.81,30.66,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,RingWraps June Promo is Here,Most Anticipated Summer Event, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,10% off ALL RingWraps + 0% Financing for 10 Months. Click to Learn More, --,,,,, --, --, --,RW - June Campaign,RingWraps KW - Case Match,Search Network with Display Select,All features,https://ringwraps.com/, --,USD,153,"1,524",10.04%,1.11,169.96,1.00,0,169.96,0.65%
The Elysian Boutique,149-408-4452,,Best Nail Art,in Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,We provide a lot of Services,"French Nails, Polish Nails, Children Manicure / Pedicure, Spa Manicure / Pedicure, Express",,,,, --, --, --,Service,Service,Search Only,All features,https://theelysianboutique.com/nails, --,USD,137,"21,035",0.65%,1.20,164.36,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Luxury Nail Salon,In Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,The Elysian Boutique- A One of a Kind Nail Salon. Choose From a Large Variety of Services.,"We Offer Acrylic, Express Mani and Pedi, Cuticle Treatment, Nail Repair and Many More.",,,,, --, --, --,Nik-NB-Geo,NB-Broad-Geo - nails,Search Only,All features,https://theelysianboutique.com, --,USD,0,234,0.00%,0.00,0.00,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Luxury Nail Salon,In Houston Heights,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Experience The Elysian Boutique’s Exemplary Nail Art Services.,"Services: Manicure, Pedicure, Acrylic, French Polish, Cuticle Treatment, and Many More.",,,,, --, --, --,Nik-NB-Geo,NB-Broad-Geo - nail salon,Search Only,All features,https://theelysianboutique.com, --,USD,22,"1,186",1.85%,1.35,29.72,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,Asbestos Research Group,Learn how Asbestos Affects You, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Mobile Alabama is affected by Asbestos more than anywhere in the US. Learn More., --,,,,,asbestos, --, --,Campaign #2,asbestos removal 1,Search Only,Standard,http://www.asbestosresearchgroup.com/index.php/what-is-asbestos/, --,USD,13,233,5.58%,5.31,68.97,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,Asbestos Research Group,What is Mesothelioma?, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Do you know how Mesothelioma affects you? Learn from experts about Mesothelioma., --,,,,,Mesothelioma,Alabama, --,Meso Campaign,mesothelioma symptoms,Search Only,Standard,http://www.asbestosresearchgroup.com/index.php/what-is-mesothelioma/, --,USD,7,163,4.29%,3.67,25.72,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,Asbestos Research Group,Top 5 Affected Job Sites in AL, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,These are the Top 5 Affected Asbestos Job Sites in Mobile AL. Did you work here?, --,,,,,job-sites,Mobile-Alabama, --,Campaign #2,asbestos removal 1,Search Only,Standard,http://www.asbestosresearchgroup.com/index.php/affected-job-sites/, --,USD,18,831,2.17%,5.33,96.01,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Best Nail Art,in Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Experience The Elysian Boutique in the Height of Fashion,Many Additional and Acrylic Services,,,,, --, --, --,elysian_leads,Customer Conversation 1,Search Network with Display Select,All features,https://theelysianboutique.com, --,USD,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Luxury Nail Salon,In Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,The Elysian Boutique - A One of a Kind Nail Salon.,Complimentary Beverages Provided. Call or Visit Us.,,,,, --, --, --,Nik-Brand,Brand-Phrase,Search Only,All features,https://theelysianboutique.com, --,USD,31,396,7.83%,1.09,33.77,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $150 Off,Use Code: valentine, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Val's Day is around the corner so if you want to give yourself or love one a gift,Take advantage of this $150 Off offer and receive it in time!,,,,, --, --, --,Branded Keywords - A&M,Montelongo's,Search Only,All features,https://ringwraps.com/, --,USD,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $200 Off,Use Code: CHRISTMASISHERE, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,RingWraps are custom-made diamond bands designed to showcase your Class Ring,We're giving a limited time offer for $200 off any RingWraps! (Excludes Enhancers).,,,,, --, --, --,Branded Keywords - A&M (US),Aggie Ring Day,Search Only,All features,https://ringwraps.com/, --,USD,0,40,0.00%,0.00,0.00,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Luxury Nail Salon,In Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,The Elysian Boutique- A One of a Kind Nail Salon. Choose From a Large Variety of Services.,"We Offer Acrylic, Express Mani and Pedi, Cuticle Treatment, Nail Repair and Many More.",,,,, --, --, --,Nik-NB-Geo,NB-Broad-Geo,Search Only,All features,https://theelysianboutique.com, --,USD,9,"2,672",0.34%,1.44,12.99,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Best Nail Art,In Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Experience The Elysian Boutique in the Height of Fashion,Many Additional and Acrylic Services,,,,, --, --, --,Elysian-Map-Ads,Map Ads,Search Network with Display Select,All features,https://theelysianboutique.com, --,USD,14,"3,607",0.39%,0.94,13.16,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,Asbestos Research Group,Questions about Mesothelioma?, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Have Questions? We have answers. Learn More and Request Information Today!, --,,,,,Mesothelioma,Alabama, --,Meso Campaign,mesothelioma symptoms,Search Only,Standard,http://www.asbestosresearchgroup.com, --,USD,0,2,0.00%,0.00,0.00,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $200 Off,Use Code: CHRISTMASISHERE, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,RingWraps are custom-made diamond bands designed to showcase your Class Ring,We're giving a limited time offer for $200 off any RingWraps! (Excludes Enhancers).,,,,, --, --, --,Branded Keywords - Houston,Branded Keyword,Search Only,All features,https://ringwraps.com/, --,USD,180,"8,000",2.25%,0.94,168.44,3.00,0,56.15,1.67%
The Elysian Boutique,149-408-4452,,Luxury Nail Salon,In Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Experience The Elysian Boutique’s Exemplary Nail Art Services.,Complimentary Beverages Provided. Call or Visit Us.,,,,, --, --, --,Nik-NB-Geo,NB-Broad-Geo - nails,Search Only,All features,https://theelysianboutique.com, --,USD,1,216,0.46%,1.30,1.30,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Luxury Nail Salon,In Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,The Elysian Boutique- A One of a Kind Nail Salon. Choose From a Large Variety of Services.,"We Offer Acrylic, Express Mani and Pedi, Cuticle Treatment, Nail Repair and Many More.",,,,, --, --, --,Nik-NB-Geo,NB-Broad-Geo - nail salon,Search Only,All features,https://theelysianboutique.com, --,USD,4,345,1.16%,0.87,3.49,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $200 Off,Use Code: CHRISTMASISHERE, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,RingWraps are custom-made diamond bands designed to showcase your Class Ring,We're giving a limited time offer for $200 off any RingWraps! (Excludes Enhancers).,,,,, --, --, --,Branded Keywords - A&M,Aggie Ring Day,Search Only,All features,https://ringwraps.com/, --,USD,0,52,0.00%,0.00,0.00,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,Compare 2017 Wireless Chargers,"iPhone, Galaxy, Nexus Models", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Need to compare different wireless chargers before buying? Find Reviews Here, --,,,,, --, --, --,Broad Match - Max CPC,Ad group 1,Search Network with Display Select,All features,https://bestwirelesschargers.com, --,USD,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Best Nail Art,in Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Experience The Elysian Boutique in the Height of Fashion,Our Service will blow your mind,,,,, --, --, --,Brand,Brand,Search Only,All features,https://theelysianboutique.com, --,USD,92,"3,072",2.99%,3.31,304.16,1.00,0,304.16,1.09%
RingWraps,692-356-5030,,The Original RingWraps,TCU Class RingWraps, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Find Gorgeous RingWraps for your TCU Class Ring. Now Offering Payment Plans, --,,,,, --, --, --,Branded Keywords - Dallas,TCU Class Ring,Search Only,All features,https://ringwraps.com/custom-work/, --,USD,71,"2,393",2.97%,0.62,43.98,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $150 Off,Use Code: valentine, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Val's Day is around the corner so if you want to give yourself or love one a gift,Take advantage of this $150 Off offer and receive it in time!,,,,, --, --, --,Branded Keywords - Dallas,Ad Group #1,Search Only,All features,https://ringwraps.com/, --,USD,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00%
RingWraps,692-356-5030,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,,,,Product listing ad; Promotion: , --, --, --,RingWraps Top,RingWraps,Shopping,Shopping ads, --, --,USD,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Best Nail Art,in Houston TX,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Experience The Elysian Boutique in the Height of Fashion,Many Additional and Acrylic Services,,,,, --, --, --,exact,Anzeigengruppe 1,Search Only,All features,https://theelysianboutique.com, --,USD,257,"13,083",1.96%,1.89,485.98,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $150 Off,Use Code: valentine, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Val's Day is around the corner so if you want to give yourself or love one a gift,Take advantage of this $150 Off offer and receive it in time!,,,,, --, --, --,Branded Keywords - Dallas,TCU Class Ring,Search Only,All features,https://ringwraps.com/, --,USD,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00%
The Elysian Boutique,149-408-4452,,Luxury Nail Salon,In Houston Heights,The Elysian Boutique, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Experience The Elysian Boutique’s Exemplary Nail Art Services.,"Services: Manicure, Pedicure, Acrylic, French Polish, Cuticle Treatment, and Many More.",,,,, --, --, --,Nik-NB-Geo,NB-Broad-Geo - nail salon,Search Only,All features,https://theelysianboutique.com, --,USD,16,"1,097",1.46%,1.36,21.73,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,Asbestos Research Group,The Law Office of Kenneth Soh, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Do you have questions about Asbestos? Let our experts help you answer them., --,,,,, --, --, --,Campaign #1,Asbestos research Group,Search Only,Standard,http://www.asbestosresearchgroup.com/, --,USD,234,"15,208",1.54%,0.40,94.01,3.00,0,31.34,1.28%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $200 Off,Use Code: CHRISTMASISHERE, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,RingWraps are custom-made diamond bands designed to showcase your Class Ring,We're giving a limited time offer for $200 off any RingWraps! (Excludes Enhancers).,,,,, --, --, --,Branded Keywords - Dallas,Ad Group #1,Search Only,All features,https://ringwraps.com/, --,USD,764,"177,055",0.43%,0.64,491.89,4.00,0,122.97,0.52%
RingWraps,692-356-5030,,The Original RingWraps,Gorgeous Diamond Ring Wraps, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,RingWraps are custom-made diamond bands designed to showcase your Class Ring, --,,,,, --, --, --,Branded Keywords - A&M (US),Brand Name,Search Only,All features,https://ringwraps.com/custom-work/, --,USD,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,Aggie Ring Day is Here,Get RingWraps with your Ring, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Ring Day is Friday Nov 17 @ 11AM - 6:30PM. See how RingWraps looks on your Ring!, --,,,,,RingWraps, --, --,Branded Keywords - A&M,Aggie Ring Day,Search Only,All features,https://www.facebook.com/RingWraps/, --,USD,27,784,3.44%,5.38,145.39,0.00,0,0.00,0.00%
RingWraps,692-356-5030,,The Original RingWraps,Enjoy $200 Off,Use Code: CHRISTMASISHERE, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,RingWraps are custom-made diamond bands designed to showcase your Class Ring,We're giving a limited time offer for $200 off any RingWraps! (Excludes Enhancers).,,,,, --, --, --,Branded Keywords - Houston,University of Houston,Search Only,All features,https://ringwraps.com/, --,USD,15,577,2.60%,1.80,26.93,0.00,0,0.00,0.00%
